NN;N1;N2;N3;N4;N5;N6
4419;15;17;18;21;42;45
4420;2;14;20;34;38;41
4421;5;15;24;26;34;43
4422;6;9;33;36;42;45
4423;4;5;8;12;20;23
4424;2;11;22;25;28;44
4425;6;9;13;28;29;42
4426;26;33;36;39;41;43
4427;1;3;9;12;36;42
4428;4;6;10;31;40;45
4429;1;14;23;36;40;43
4430;3;8;12;13;34;43
4431;3;5;14;23;30;43
4432;2;10;12;21;28;42
4433;7;8;9;14;16;34
4434;6;15;21;24;28;36
4435;5;12;14;23;32;38
4436;10;14;18;24;34;44
4437;10;18;25;31;33;37
4438;1;7;14;16;19;44
4439;1;4;5;16;25;38
4440;3;10;17;32;38;41
4441;1;7;11;15;37;38
4442;4;7;13;17;21;32
4443;4;7;16;33;39;42
4444;15;19;25;29;31;43
4445;2;7;13;19;37;40
4446;8;13;18;34;43;45
4447;12;16;22;24;26;39
4448;1;4;35;40;41;42
4449;9;10;11;13;22;37
4450;4;20;24;29;37;41
4451;12;25;30;38;43;45
4452;11;21;27;28;31;36
4453;7;27;29;32;33;34
4454;7;22;27;28;35;41
4455;12;16;19;21;25;28
4456;4;7;20;24;34;35
4457;2;14;24;26;32;35
4458;2;9;15;33;38;39
4459;13;18;23;27;30;41
4460;14;23;25;36;38;45
4461;4;20;31;39;42;44
4462;4;9;13;28;31;38
4463;5;19;21;24;31;34
4464;10;19;22;27;33;35
4465;2;4;8;9;11;21
4466;6;16;26;34;36;42
4467;10;13;18;28;31;35
4468;3;8;13;22;24;30
4469;13;27;31;33;35;44
4470;3;12;17;36;39;45
4471;2;13;14;15;27;43
4472;3;8;24;26;29;31
4473;3;16;21;26;28;38
4474;13;22;29;30;31;43
4475;5;15;24;29;35;37
4476;17;23;24;36;39;44
4477;16;19;25;29;33;35
4478;14;17;28;34;35;40
4479;3;14;19;32;37;43
4480;5;6;7;12;26;34
4481;8;10;22;33;36;37
4482;8;11;14;22;32;33
4483;3;11;24;30;41;45
4484;1;25;26;30;35;41
4485;11;13;18;38;40;43
4486;1;2;10;31;37;45
4487;8;16;24;36;40;44
4488;7;23;29;38;40;45
4489;2;5;10;16;25;42
4490;2;5;15;31;38;40
4491;5;10;14;19;26;33
4492;1;6;12;18;34;38
4493;1;6;14;28;29;40
4494;1;4;10;11;39;40
4495;4;8;17;35;38;43
4496;6;8;11;14;21;33
4497;2;5;10;15;19;43
4498;4;5;11;13;41;45
4499;7;18;21;23;27;31
4500;2;6;14;19;32;36
4501;2;10;28;41;44;45
4502;1;6;24;25;38;45
4503;4;5;20;27;28;37
4504;4;5;16;19;26;37
4505;8;21;25;34;36;43
4506;12;13;18;30;31;34
4507;17;19;21;23;34;42
4508;5;12;19;31;38;45
4509;12;13;20;26;28;42
4510;8;12;16;20;21;34
4511;12;13;22;27;38;42
4512;12;13;21;27;32;34
4513;9;17;19;22;23;29
4514;8;12;17;29;32;36
4515;16;22;25;31;39;45
4516;7;15;19;22;35;36
4517;4;12;15;17;21;34
4518;1;11;12;35;36;40
4519;7;23;29;34;38;41
4520;18;21;23;25;32;36
4521;3;6;23;25;35;43
4522;10;23;25;29;38;42
4523;2;12;26;27;34;40
4524;11;16;32;35;37;45
4525;2;7;8;22;28;39
4526;4;6;12;19;29;36
4527;4;24;33;39;40;45
4528;5;10;11;12;26;32
4529;4;5;10;19;33;40
4530;1;2;12;20;31;33
4531;6;17;23;24;32;37
4532;1;4;25;28;42;45
4533;14;17;19;34;35;38
4534;1;6;21;28;38;39
4535;13;15;23;32;36;39
4536;3;4;16;25;28;34
4537;1;12;17;20;24;45
4538;18;20;24;33;39;40
4539;2;5;6;18;21;31
4540;10;12;13;16;26;30
4541;5;26;29;30;35;38
4542;8;23;34;38;39;40
4543;4;17;20;31;37;39
4544;1;16;22;37;38;44
4545;1;3;9;23;39;41
4546;5;26;27;29;44;45
4547;3;10;20;23;37;40
4548;1;5;16;34;38;41
4549;4;6;10;15;21;29
4550;2;21;22;29;31;32
4551;6;19;23;28;44;45
4552;2;3;4;6;7;39
4553;8;12;17;22;23;32
4554;8;19;20;31;33;36
4555;14;18;19;22;30;40
4556;3;16;30;39;40;41
4557;2;6;9;15;22;43
4558;12;17;19;33;36;39
4559;6;20;21;27;28;32
4560;1;18;20;24;26;40
4561;4;20;22;23;33;41
4562;6;9;13;25;42;45
4563;3;5;9;11;14;38
4564;1;9;21;33;34;42
4565;12;13;15;21;29;38
4566;8;9;13;20;26;33
4567;10;17;18;21;44;45
4568;8;9;11;16;17;31
4569;2;6;22;36;40;44
4570;23;24;26;29;34;37
4571;3;6;7;10;11;34
4572;8;14;18;20;36;41
4573;1;10;22;31;36;44
4574;5;16;23;31;39;41
4575;7;11;19;28;33;42
4576;18;27;28;31;40;45
4577;10;19;23;27;32;39
4578;2;7;8;27;39;43
4579;5;14;15;20;25;37
4580;7;20;23;31;34;38
4581;1;3;4;5;30;36
4582;6;25;30;34;37;44
4583;6;9;12;13;29;44
4584;3;9;26;32;34;44
4585;11;18;23;33;35;45
4586;1;11;15;18;26;36
4587;4;23;25;28;40;44
4588;1;9;20;29;31;32
4589;3;7;16;19;30;38
4590;23;24;34;41;42;43
4591;11;14;33;36;40;43
4592;3;7;21;34;41;45
4593;5;15;27;40;41;43
4594;3;4;7;31;36;44
4595;8;12;24;29;37;45
4596;3;16;20;21;26;42
4597;5;15;18;22;23;42
4598;8;15;30;33;40;44
4599;1;19;23;24;27;37
4600;3;4;29;30;42;43
4601;5;19;22;23;29;33
4602;2;9;28;29;34;45
4603;2;7;23;24;31;44
4604;3;26;30;31;35;36
4605;19;20;31;33;34;39
4606;12;14;19;22;34;43
4607;6;16;37;39;40;45
4608;1;12;22;25;31;36
4609;3;4;9;37;42;43
4610;9;11;24;27;37;38
4611;6;9;16;26;38;44
4612;6;11;20;38;43;44
4613;2;8;20;22;26;39
4614;2;5;6;10;14;33
4615;9;14;16;26;29;45
4616;4;16;30;36;39;45
4617;16;32;33;35;37;45
4618;14;25;36;39;40;44
4619;5;9;10;40;42;45
4620;21;31;33;38;42;43
4621;3;19;32;35;38;44
4622;7;15;18;21;23;31
4623;8;23;30;34;37;40
4624;1;4;14;19;24;31
4625;2;3;4;17;21;22
4626;2;14;17;18;23;44
4627;4;18;25;32;39;45
4628;3;6;7;14;29;45
4629;5;15;27;34;36;43
4630;5;9;13;15;34;40
4631;13;18;26;36;37;43
4632;7;17;22;38;40;45
4633;11;12;13;16;19;26
4634;3;14;16;17;22;33
4635;2;14;21;23;25;30
4636;3;9;12;21;22;45
4637;3;9;18;37;40;45
4638;15;24;30;33;40;44
4639;4;5;6;9;34;41
4640;1;5;9;14;41;45
4641;3;12;16;29;30;36
4642;8;17;23;24;31;37
4643;4;13;19;22;23;43
4644;10;11;13;16;22;35
4645;2;11;13;15;21;22
4646;4;5;17;18;34;36
4647;1;14;18;24;28;29
4648;8;14;16;20;26;33
4649;3;6;29;37;43;45
4650;1;12;17;24;31;35
4651;2;8;26;30;38;43
4652;21;22;24;29;32;42
4653;4;6;7;15;25;28
4654;19;22;26;33;37;41
4655;6;20;36;38;44;45
4656;6;12;23;28;42;44
4657;5;13;19;32;35;45
4658;9;13;25;32;34;42
4659;17;33;36;39;41;44
4660;1;8;12;18;20;37
4661;5;21;26;34;35;41
4662;1;3;6;14;16;22
4663;3;9;14;15;26;45
4664;6;22;25;36;41;42
4665;10;17;19;27;37;44
4666;2;18;27;29;31;33
4667;1;3;24;31;33;35
4668;1;2;12;39;40;42
4669;4;15;30;32;34;36
4670;8;15;19;33;39;45
4671;15;33;37;40;41;45
4672;6;11;25;28;40;43
4673;1;4;19;21;22;45
4674;1;8;11;20;26;36
4675;3;24;26;33;35;40
4676;2;10;25;28;37;44
4677;2;12;18;21;27;33
4678;3;13;18;31;39;42
4679;2;24;33;42;43;44
4680;5;13;18;29;30;42
4681;2;19;33;34;40;42
4682;1;4;7;10;26;38
4683;1;3;16;26;38;44
4684;25;27;29;40;43;45
4685;6;20;29;33;41;44
4686;11;17;18;22;41;42
4687;1;25;26;27;30;37
4688;4;5;8;13;15;29
4689;8;18;25;30;38;40
4690;3;4;8;19;21;31
4691;7;14;17;21;25;44
4692;10;16;23;29;34;37
4693;13;15;17;30;43;44
4694;1;8;20;21;25;26
4695;1;9;33;37;39;41
4696;12;19;22;35;40;43
4697;4;5;20;21;31;42
4698;9;15;19;33;35;42
4699;4;7;26;31;42;44
4700;10;11;17;20;27;32
4701;3;23;26;32;35;36
4702;4;9;14;17;33;38
4703;10;16;23;28;30;44
4704;6;10;13;15;24;33
4705;4;9;12;15;33;43
4706;3;9;12;23;24;43
4707;4;5;11;23;30;40
4708;13;17;28;30;33;38
4709;18;19;22;25;38;41
4710;7;19;27;32;36;41
4711;9;10;21;26;35;43
4712;2;12;14;15;19;20
4713;9;11;21;30;35;45
4714;2;3;14;16;20;43
4715;5;18;21;36;39;43
4716;6;9;21;24;32;33
4717;3;5;15;16;23;35
4718;1;6;26;28;36;38
4719;23;33;39;40;41;44
4720;11;21;22;33;34;42
4721;1;11;29;34;37;43
4722;1;5;15;22;23;25
4723;6;16;18;26;31;37
4724;2;3;24;29;37;38
4725;3;7;10;12;17;25
4726;11;14;26;29;31;36
4727;2;18;20;23;24;30
4728;2;5;13;24;29;33
4729;8;16;18;27;37;42
4730;14;15;18;36;39;42
4731;22;29;30;32;41;44
4732;4;14;24;27;30;42
4733;1;4;23;28;32;42
4734;10;11;31;33;37;39
4735;9;12;18;26;27;45
4736;1;12;15;16;37;42
4737;3;9;10;23;25;44
4738;28;30;36;37;43;45
4739;21;22;23;30;31;35
4740;6;15;17;26;38;43
4741;4;5;15;22;29;31
4742;5;10;17;18;28;43
4743;12;21;25;31;36;39
4744;4;18;28;30;39;42
4745;5;19;21;26;39;44
4746;13;17;18;26;35;39
4747;1;18;28;33;37;40
4748;2;19;22;32;37;38
4749;8;15;25;26;32;44
4750;22;35;39;41;43;45
4751;1;10;18;22;25;43
4752;4;13;17;18;28;33
4753;2;8;18;37;39;45
4754;19;30;37;41;42;45
4755;1;3;18;26;28;33
4756;2;3;5;16;20;23
4757;3;11;14;16;26;32
4758;4;13;27;37;43;45
4759;1;6;12;14;23;29
4760;3;20;29;37;40;45
4761;2;5;10;15;18;37
4762;5;8;15;19;31;33
4763;3;15;16;28;36;37
4764;2;7;11;17;20;29
4765;5;15;19;20;22;41
4766;6;9;13;15;16;20
4767;9;12;16;19;36;39
4768;9;19;26;30;40;44
4769;2;7;12;20;21;22
4770;1;14;23;36;37;43
4771;3;9;14;22;37;38
4772;6;14;21;25;27;39
4773;5;22;33;39;43;45
4774;2;6;8;19;22;42
4775;2;3;5;20;25;32
4776;6;7;8;14;15;40
4777;5;19;21;31;36;41
4778;2;6;17;22;31;37
4779;3;20;25;28;37;40
4780;4;13;18;21;33;38
4781;29;38;39;40;43;44
4782;9;13;14;20;23;42
4783;6;14;15;19;23;41
4784;8;15;18;20;33;38
4785;14;23;24;28;33;37
4786;14;22;28;29;37;44
4787;2;3;9;11;37;43
4788;11;22;25;29;37;41
4789;1;2;27;28;29;42
4790;3;14;17;20;21;45
4791;14;19;26;33;36;39
4792;2;6;11;13;23;31
4793;4;16;20;27;28;44
4794;11;23;25;33;35;44
4795;15;18;22;26;43;44
4796;9;13;20;27;34;37
4797;7;10;26;27;34;39
4798;4;18;28;33;36;37
4799;1;8;9;14;29;40
4800;5;7;9;16;31;43
4801;4;6;18;19;24;28
4802;4;6;19;24;28;38
4803;8;12;20;25;33;34
4804;13;20;21;22;33;38
4805;3;5;12;20;25;27
4806;5;6;13;14;22;24
4807;3;11;29;37;41;43
4808;10;19;20;23;28;37
4809;14;23;26;29;33;40
4810;5;9;17;23;28;32
4811;11;16;21;36;43;44
4812;2;18;26;32;35;38
4813;2;15;16;21;30;39
4814;6;15;19;25;29;43
4815;6;8;12;26;28;32
4816;9;12;14;20;26;40
4817;21;23;24;25;31;41
4818;8;9;19;28;29;43
4819;11;12;24;29;34;41
