NN;N1;N2;N3;N4;N5;N6
5135;4;6;11;14;23;28
5136;3;8;13;20;28;35
5137;9;10;22;30;31;42
5138;10;19;28;37;40;41
5139;2;15;20;23;35;44
5140;3;9;17;27;31;35
5141;15;21;24;42;44;45
5142;6;11;29;31;40;43
5143;1;4;23;24;29;32
5144;2;5;11;23;25;30
5145;1;13;24;28;30;31
5146;2;3;17;20;24;31
5147;16;29;32;36;38;43
5148;4;7;12;14;16;22
5149;1;14;29;34;35;37
5150;3;19;22;34;39;43
5151;2;3;13;21;27;33
5152;4;5;11;14;20;24
5153;17;18;21;37;43;44
5154;12;17;31;37;38;44
5155;9;14;18;37;38;39
5156;3;5;12;19;32;33
5157;8;12;16;24;37;41
5158;5;7;14;17;31;33
5159;11;21;23;29;34;37
5160;11;16;26;34;42;43
5161;13;17;35;39;41;43
5162;5;13;14;35;42;44
5163;10;20;22;26;32;36
5164;4;13;28;35;41;45
5165;11;21;23;26;43;44
5166;1;11;19;20;40;41
5167;1;11;15;22;27;28
5168;5;8;14;15;17;30
5169;12;19;30;34;44;45
5170;2;21;30;31;43;45
5171;15;18;26;28;34;38
5172;10;12;13;15;27;43
5173;4;7;9;20;42;43
5174;5;12;33;34;36;44
5175;2;9;15;19;35;44
5176;4;16;19;22;27;30
5177;8;11;21;22;25;32
5178;3;4;11;14;18;22
5179;2;13;26;29;34;42
5180;3;16;18;31;32;44
5181;1;13;23;34;38;39
5182;12;15;23;26;29;42
5183;31;34;36;37;40;45
5184;12;21;25;36;39;42
5185;6;7;28;29;31;32
5186;1;3;17;30;33;44
5187;5;6;23;31;35;44
5188;6;26;30;32;34;43
5189;2;7;11;13;18;35
5190;7;27;31;32;34;40
5191;15;17;21;26;37;41
5192;5;10;25;26;33;34
5193;3;9;18;28;29;30
5194;1;2;9;17;18;43
5195;26;30;33;34;42;45
5196;5;15;16;26;29;45
5197;4;10;11;15;34;42
5198;1;5;15;22;23;24
5199;1;5;6;25;31;41
5200;1;2;3;12;20;43
5201;1;15;16;21;27;41
5202;19;22;27;37;39;44
5203;2;3;11;12;19;29
5204;1;4;7;20;24;36
5205;2;17;22;24;29;34
5206;3;5;13;21;22;41
5207;1;11;14;29;34;39
